"SiteName"	"Country"	"Period"	"PhaseCode"	"LabCode"	"C14Age"	"C14SD"	"Material"	"MaterialSpecies"	"tpq"	"taq"	"Longitude"	"Latitude"	"bib"	"bib_url"
"Lombard"	"France"	"EN"	"C5A"	"Ly-4156 (SacA-7413)"	6280	30	"fauna"	"Cervus elaphus"	-5060	-5371	6.824	43.685	"Garcia-Puchol et Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"C6A"	"AA-53296"	6191	63	"fauna"	"Capra hircus"	-4837	-5460	4.47	44.32	"Garcia-Puchol et Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"n/a"	"AA-53292"	6210	69	"fauna"	"Capra hircus"	-4836	-5470	4.47	44.32	"Garcia-Puchol et Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"C6B"	"AA-53291"	6233	64	"fauna"	"Capra hircus"	-4851	-5471	4.47	44.32	"Garcia-Puchol et Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"C6A"	"AA-53294"	6233	64	"fauna"	"Capra hircus"	-4851	-5471	4.47	44.32	"Garcia-Puchol et Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"Cc5"	"AA-53293"	6168	63	"fauna"	"Capra hircus"	-4799	-5367	4.47	44.32	"Garcia-Puchol et Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Lombard"	"France"	"EN"	"C5A"	"Ly-4157 (SacA-7414)"	6165	35	"fauna"	"Ovis aries"	-4937	-5303	6.824	43.685	"Garcia-Puchol et Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume de Montclus"	"France"	"EN"	"C4"	"Beta-253158"	6550	40	"fauna"	"n/a"	-5360	-5631	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C23"	"MC-730"	7950	100	"wood charcoal"	"Wood charcoal (unidentified)"	-6455	-7345	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"EN"	"C4"	"Ly-303"	6300	150	"wood charcoal"	"Wood charcoal (unidentified)"	-4624	-5712	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C14B"	"Beta-253164"	7320	50	"fauna"	"n/a"	-6006	-6403	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C5"	"MC-695"	6450	100	"wood charcoal"	"Wood charcoal (unidentified)"	-4999	-5713	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C13B"	"Beta-253163"	7190	50	"fauna"	"Capreolus"	-5886	-6239	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C13"	"MC-729"	7200	100	"wood charcoal"	"Wood charcoal (unidentified)"	-5723	-6432	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C10B"	"Beta-253161"	6990	40	"fauna"	"Sus scropha"	-5719	-6016	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"EN"	"C4"	"Ly-304"	6140	150	"fauna"	"Bone (unidentified)"	-4459	-5610	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C14"	"Ly-496"	7020	140	"wood charcoal"	"n/a"	-5483	-6398	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C8"	"Ly-494"	6230	150	"wood charcoal"	"n/a"	-4546	-5637	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"UM"	"C7-8-9"	"MC-728"	6880	100	"wood charcoal"	"Wood charcoal (unidentified)"	-5480	-6074	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C12A"	"Beta-253162"	7170	50	"fauna"	"n/a"	-5844	-6232	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"EN"	"C4"	"MC-694"	6170	150	"wood charcoal"	"Wood charcoal (unidentified)"	-4493	-5618	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Baume de Montclus"	"France"	"LM"	"C14"	"Ly-495"	6440	230	"wood charcoal"	"n/a"	-4501	-6056	4.42	44.27	"Perrin et Defranould 2016"	"https://doi.org/10.1016/j.quaint.2015.09.046"
"Abri Jean Cros"	"France"	"EN"	"US 2a-b-c, Q: VI-6"	"Gif-3575"	6600	130	"shell"	"Helix sp."	-5053	-5981	2.475	43.075	"Perrin et al. 2018"	"https://doi.org/10.1016/j.quaint.2017.05.027"
"Abri Jean Cros"	"France"	"EN"	"XI6-2a-40"	"Beta-398983"	5910	30	"fauna"	"Cervus elaphus"	-4618	-4940	2.475	43.075	"Perrin et al. 2018"	"https://doi.org/10.1016/j.quaint.2017.05.027"
"Abri Jean Cros"	"France"	"EN"	"VI4-2b-92"	"Beta-398981"	6070	30	"fauna"	"Caprinae sp."	-4802	-5209	2.475	43.075	"Perrin et al. 2018"	"https://doi.org/10.1016/j.quaint.2017.05.027"
"Abri Jean Cros"	"France"	"EN"	"US 2c"	"MC-786"	4450	100	"wood charcoal"	"Wood charcoal (unidentified)"	-2632	-3632	2.475	43.075	"Perrin et al. 2018"	"https://doi.org/10.1016/j.quaint.2017.05.027"
"Abri Jean Cros"	"France"	"EN"	"US 2a-b"	"MC-935"	4530	100	"organic"	"Organic sediment"	-2872	-3649	2.475	43.075	"Perrin et al. 2018"	"https://doi.org/10.1016/j.quaint.2017.05.027"
"Abri du Capitaine"	"France"	"EN"	"C18"	"Gif-1111"	6050	150	"wood charcoal"	"Wood charcoal (unidentified)"	-4360	-5486	6.15	43.76	"Perrin et al. 2018"	"https://doi.org/10.1016/j.quaint.2017.05.027"
