depot;nb_typeA;nb_typeB;nb_typeC;nb_typeD;color;shape;x;y
d1;12;6;3;8;blue;16;-1.692491902;48.27813305
d2;4;11;8;12;blue;16;-1.427538624;47.23434884
d3;12;12;3;6;blue;16;-2.153681123;48.19118002
d4;8;6;10;10;blue;16;-2.331934218;48.43759555
d5;10;2;12;13;blue;16;-1.530066772;48.10722656
d6;11;11;2;3;blue;16;-1.56753212;47.84780437
d7;10;12;10;8;red;15;-2.035954571;47.46932362
d8;7;2;3;10;red;15;-1.320257292;48.7947674
d9;11;5;5;11;red;15;-0.970057806;48.2668278
d10;9;11;7;14;red;15;-1.14501482;47.5814743
d11;7;6;1;7;red;15;-1.285418041;48.28182751
d12;9;9;11;10;green;17;-1.183175042;48.0823546
d13;7;12;5;14;green;17;-1.244645123;47.24958868
d14;9;9;3;8;green;17;-1.845655229;48.17153796
d15;6;8;2;4;purple;18;-2.215130399;48.42834177
