"SiteName"	"Country"	"Period"	"PhaseCode"	"LabCode"	"C14Age"	"C14SD"	"Material"	"MaterialSpecies"	"tpq"	"taq"	"Longitude"	"Latitude"	"bib"	"bib_url"
"Cueva de Nerja"	"Spain"	"LM"	"unit 7"	"GaK-8968"	7390	120	"cereal"	"Cerealia sp. (unidentified)"	-5841	-6643	-3.844529	36.762871	"Serrano et al. 1997"	"https://doi.org/10.1006/qres.1997.1920 "
"Baume d'Oullins"	"France"	"EN"	"Layer 5"	"AA-53292"	6210	69	"fauna"	"Capra hircus"	-4804	-5471	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"Layer 6A"	"AA-53296"	6191	63	"fauna"	"Capra hircus"	-4805	-5462	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"Layer 6A"	"AA-53294"	6233	64	"fauna"	"Capra hircus"	-4848	-5471	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"Layer 5"	"AA-53293"	6168	63	"fauna"	"Capra hircus"	-4795	-5369	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Baume d'Oullins"	"France"	"EN"	"Layer 6B"	"AA-53291"	6233	64	"fauna"	"Capra hircus"	-4848	-5471	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Costamar"	"Spain"	"EN"	"UE-<U+200B>13002"	"UCI-AM 60738"	5965	25	"cereal"	"Hordeum sp."	-4714	-4996	0.158587	40.136833	"Ibáñez et al. 2017"	"https://doi.org/10.1007/978-3-319-52939-4_13"
"Costamar"	"Spain"	"EN"	"UE-<U+200B>13002"	"UCI-AM 60738"	5965	25	"cereal"	"Hordeum sp."	-4714	-4996	0.158587	40.136833	"Ibáñez et al. 2017"	"https://doi.org/10.1007/978-3-319-52939-4_13"
"Cova del Frare"	"Spain"	"EN"	"Layer 5a"	"I-13033"	5460	250	"wood charcoal"	"Wood charcoal (unidentified)"	-3374	-5291	2.019095	41.637334	"Ibanez et al. 2017"	"https://doi.org/10.1007/978-3-319-52939-4_13"
"Cova del Frare"	"Spain"	"EN"	"Layer 5a"	"I-13033"	5460	250	"wood charcoal"	"Wood charcoal (unidentified)"	-3374	-5291	2.019095	41.637334	"Ibanez et al. 2017"	"https://doi.org/10.1007/978-3-319-52939-4_13"
"Cova del Frare"	"Spain"	"EN"	"Layer 5b, Q:Y35"	"MC-2298"	5800	130	"wood charcoal"	"Wood charcoal (unidentified)"	-4175	-5214	2.019095	41.637334	"Ibanez et al. 2017"	"https://doi.org/10.1007/978-3-319-52939-4_13"
