"SiteID"	"Country"	"Latitude"	"Longitude"	"SiteName"	"C14ID"	"SiteType"	"Period"	"PhaseCode"	"LabCode"	"C14BP"	"C14SD"	"Material"	"MaterialSpecies"	"Culture"	"Reliability"	"tpq"	"taq"	"select"	"FN"	"RedNeo"	"bib"	"bib_url"	"inTime"	"inSpace"	"X26"
NA	"Albania"	39.674781	20.177229	"Konispol Cave"	NA	"GR"	"LM"	"n/a"	"Beta-67804"	"7630"	140	"WC"	"Wood charcoal (unidentified)"	"Late Mesolithic"	"LOW"	-7023	-6095	FALSE	NA	1	"Forenbaher & Miracle 2006"	"10.4312/dp.33.10"	1	1	NA
NA	"Albania"	39.674781	20.177229	"Konispol Cave"	NA	"GR"	"LM"	"n/a"	"Beta-80001"	"7550"	80	"WC"	"Wood charcoal (unidentified)"	"Late Mesolithic"	"LOW"	-6570	-6234	FALSE	NA	1	"Forenbaher & Miracle 2006"	"10.4312/dp.33.10"	1	1	NA
NA	"Albania"	39.674781	20.177229	"Konispol Cave"	NA	"GR"	"LM"	"II"	"Beta-80000"	"7550"	80	"WC"	"Wood charcoal (unidentified)"	"Castelnovian"	"LOW"	-6570	-6234	FALSE	NA	NA	"Forenbaher & Miracle 2006"	"10.4312/dp.33.10"	1	1	NA
NA	"Albania"	39.674781	20.177229	"Konispol Cave"	NA	"GR"	"LM"	"n/a"	"Beta-67803"	"7510"	90	"WC"	"Wood charcoal (unidentified)"	"Late Mesolithic"	"LOW"	-6570	-6092	FALSE	NA	1	"Forenbaher & Miracle 2006"	"10.4312/dp.33.10"	1	1	NA
NA	"Albania"	39.674781	20.177229	"Konispol Cave"	NA	"GR"	"LM"	"n/a"	"Beta-79999"	"7410"	80	"WC"	"Wood charcoal (unidentified)"	"Late Mesolithic"	"LOW"	-6420	-6086	FALSE	NA	1	"Forenbaher & Miracle 2006"	"10.4312/dp.33.10"	1	1	NA
NA	"Andorra"	42.484072	1.492205	"Balma Margineda"	NA	"RK"	"EN"	"Layer 3b (F3)"	"Ly-3289"	"6850"	150	"WC"	"Wood charcoal (unidentified)"	"Cardial"	"LOW"	-6016	-5483	TRUE	NA	1	"Manen et al. 2020"	"10.1017/RDC.2018.98"	1	1	NA
NA	"Andorra"	42.484072	1.492205	"Balma Margineda"	NA	"RK"	"EN"	"Layer 3/4"	"Ly-3290"	"6820"	170	"WC"	"Wood charcoal (unidentified)"	"Cardial"	"LOW"	-6059	-5473	TRUE	NA	1	"Manen et al. 2020"	"10.1017/RDC.2018.98"	1	1	NA
NA	"Andorra"	42.484072	1.492205	"Balma Margineda"	NA	"RK"	"EN"	"Layer 3b"	"Beta-398960"	"6690"	30	"CE"	"Hordeum vulgare var. nudum"	"Intrusion"	"HIGH"	-5666	-5537	TRUE	NA	1	"Manen et al. 2020"	"10.1017/RDC.2018.98"	1	1	NA
NA	"Andorra"	42.484072	1.492205	"Balma Margineda"	NA	"RK"	"EN"	"Layer 3b base F3 base"	"Ly-2839"	"6670"	120	"WC"	"Wood charcoal (unidentified)"	"Cardial"	"LOW"	-5801	-5374	TRUE	NA	1	"Manen et al. 2020"	"10.1017/RDC.2018.98"	1	1	NA
NA	"Andorra"	42.484072	1.492205	"Balma Margineda"	NA	"RK"	"EN"	"Layer 3a-F1"	"Ly-3288"	"6640"	160	"WC"	"Wood charcoal (unidentified)"	"Cardial"	"LOW"	-5885	-5226	TRUE	NA	1	"Manen et al. 2020"	"10.1017/RDC.2018.98"	1	1	NA
