"short.ref"	"key.or.doi"	"long.ref"
"Mora et al. 2011"	"10.1002/jqs.1486"	"Mora, R., Benito-Calvo, A., Martínez-Moreno, J., Marcen, P. G., & De La Torre, I. (2011). Chrono-stratigraphy of the Upper Pleistocene and Holocene archaeological sequence in Cova Gran (south-eastern Pre-Pyrenees, Iberian Peninsula). Journal of Quaternary Science, 26(6), 635–644. doi:10.1002/jqs.1486"
"Navarrete et al., 2017"	"10.1002/oa.2598"	"Navarrete, V., Colonese, A. C., Tornero, C., Antolín, F., Von Tersch, M., Eulàlia Subirà, M., … Saña, M. (2017). Feeding Management Strategies among the Early Neolithic Pigs in the NE of the Iberian Peninsula. International Journal of Osteoarchaeology, 27(5), 839–852. doi:10.1002/oa.2598"
"Ramis & Bover 2001"	"10.1006/jasc.2000.0548"	"Ramis, D., & Bover, P. (2001). A Review of the Evidence for Domestication of Myotragus balearicus Bate 1909 (Artiodactyla, Caprinae) in the Balearic Islands. Journal of Archaeological Science, 28(3), 265–282. doi:10.1006/jasc.2000.0548"
"Serrano et al. 1997"	"10.1006/qres.1997.1920 "	"10.1006/qres.1997.1920 "
"García-Puchol & Salazar-Garcia 2017"	"10.1007/978-3-319-52939-4"	"García-Puchol, O., & Salazar-García, D. C. (Eds.). (2017). Times of Neolithic Transition along the Western Mediterranean. Fundamental Issues in Archaeology. doi:10.1007/978-3-319-52939-4"
"Ibanez et al. 2017"	"10.1007/978-3-319-52939-4_13"	"Ibáñez-Estévez, J. J., Bao, J. F. G., Gassin, B., & Mazzucco, N. (2017). Paths and Rhythms in the Spread of Agriculture in the Western Mediterranean: The Contribution of the Analysis of Harvesting Technology. Fundamental Issues in Archaeology, 339–371. doi:10.1007/978-3-319-52939-4_13"
"Ibáñez et al. 2017"	"10.1007/978-3-319-52939-4_13"	"Ibáñez-Estévez, J. J., Bao, J. F. G., Gassin, B., & Mazzucco, N. (2017). Paths and Rhythms in the Spread of Agriculture in the Western Mediterranean: The Contribution of the Analysis of Harvesting Technology. Fundamental Issues in Archaeology, 339–371. doi:10.1007/978-3-319-52939-4_13"
"Juan Cabanilles et al. 2017"	"10.1007/978-3-319-52939-4_3"	"Juan-Cabanilles, J., & Martí Oliver, B. (2017). New Approaches to the Neolithic Transition: The Last Hunters and First Farmers of the Western Mediterranean. Fundamental Issues in Archaeology, 33–65. doi:10.1007/978-3-319-52939-4_3"
"Pardo-Gordo et al. 2017"	"10.1007/978-3-319-52939-4_5"	"Pardo-Gordó, S., Bergin, S. M., Aubán, J. B., & Barton, C. M. (2017). Alternative Stories of Agricultural Origins: The Neolithic Spread in the Iberian Peninsula. Fundamental Issues in Archaeology, 101–131. doi:10.1007/978-3-319-52939-4_5"
"Gassiot et al. 2017"	"10.1007/978-3-319-55982-7_4"	"Gassiot Ballbè, E., Mazzucco, N., Clemente Conte, I., Rodríguez Antón, D., Obea Gómez, L., Quesada Carrasco, M., & Díaz Bonilla, S. (2017). The Beginning of High Mountain Occupations in the Pyrenees. Human Settlements and Mobility from 18,000 cal BC to 2000 cal BC. Advances in Global Change Research, 75–105. doi:10.1007/978-3-319-55982-7_4"
"Martin 2015"	"10.1007/s00334-014-0490-y"	"Martin, L. (2014). Plant economy and territory exploitation in the Alps during the Neolithic (5000–4200 cal bc): first results of archaeobotanical studies in the Valais (Switzerland). Vegetation History and Archaeobotany, 24(1), 63–73. doi:10.1007/s00334-014-0490-y"
"Scorrano et al. 2018"	"10.1007/s12520-018-0615-9"	"Scorrano, G., Baldoni, M., Brilli, M., Rolfo, M. F., Fornaciari, G., Rickards, O., & Martínez-Labarga, C. (2018). Effect of Neolithic transition on an Italian community: Mora Cavorso (Jenne, Rome). Archaeological and Anthropological Sciences, 11(4), 1443–1459. doi:10.1007/s12520-018-0615-9"
