region	site	date	cause	type
1	Manbij	Abu Qilqil	..2004-12-31	Construction	Domestic
2	Manbij	Tell Abu Jadha	..2004-12-31	Construction	Domestic
3	Manbij	Tell Abu Jadha	2009-10-23:2016-06-26	Construction	Domestic
4	Izaz	Tell Akhtarin	..2004-12-31	Clearance (Unclassified)	Domestic
5	Izaz	Tell Akhtarin	..2004-12-31	Construction	Domestic
6	Izaz	Tell al-Bel	..2004-12-31	Clearance (Unclassified)	Domestic
7	Izaz	Tell al-Bel	..2004-12-31	Construction	Domestic
8	Izaz	Tell Alsheykh Rih	..2004-12-31	Clearance (Unclassified)	Domestic
9	Izaz	Tell Alsheykh Rih	2004-12-31:2009-05-16	Construction	Domestic
10	Izaz	Tell Alsheykh Rih	2011-05-11:2013-04-28	Construction	Domestic
11	Izaz	Tell Alsheykh Rih	2017-02-20:2018-01-29	Occupation/Continued Use	Domestic
12	Izaz	Tell Arshaf	..2004-12-31	Clearance (Unclassified)	Domestic
13	Izaz	Tell Arshaf	..2004-12-31	Construction	Domestic
14	Izaz	Tell Arshaf	2016-12-24:2017-04-20	Construction	Domestic
15	Izaz	Tell Baraghedeh	2017-02-20:2018-01-29	Occupation/Continued Use	Domestic
16	Izaz	Tell Battal	..2004-12-31	Construction	Domestic
17	Izaz	Tell Battal	2017-04-30:2018-10-07	Clearance (Unclassified)	Domestic
18	Izaz	Tell Battal	2016-11-27:2017-04-30	Construction	Domestic
19	Izaz	Tell Battal	2016-11-19:2016-11-27	Occupation/Continued Use	Domestic
