region	site	date	cause	type	density
1	Manbij	Abu Qilqil	2004-01-01	Construction	Domestic	0.00273224043715847
2	Manbij	Abu Qilqil	2004-01-02	Construction	Domestic	0.00273224043715847
3	Manbij	Abu Qilqil	2004-01-03	Construction	Domestic	0.00273224043715847
4	Manbij	Abu Qilqil	2004-01-04	Construction	Domestic	0.00273224043715847
5	Manbij	Abu Qilqil	2004-01-05	Construction	Domestic	0.00273224043715847
6	Manbij	Abu Qilqil	2004-01-06	Construction	Domestic	0.00273224043715847
7	Manbij	Abu Qilqil	2004-01-07	Construction	Domestic	0.00273224043715847
8	Manbij	Abu Qilqil	2004-01-08	Construction	Domestic	0.00273224043715847
9	Manbij	Abu Qilqil	2004-01-09	Construction	Domestic	0.00273224043715847
10	Manbij	Abu Qilqil	2004-01-10	Construction	Domestic	0.00273224043715847
11	Manbij	Abu Qilqil	2004-01-11	Construction	Domestic	0.00273224043715847
12	Manbij	Abu Qilqil	2004-01-12	Construction	Domestic	0.00273224043715847
13	Manbij	Abu Qilqil	2004-01-13	Construction	Domestic	0.00273224043715847
14	Manbij	Abu Qilqil	2004-01-14	Construction	Domestic	0.00273224043715847
15	Manbij	Abu Qilqil	2004-01-15	Construction	Domestic	0.00273224043715847
16	Manbij	Abu Qilqil	2004-01-16	Construction	Domestic	0.00273224043715847
17	Manbij	Abu Qilqil	2004-01-17	Construction	Domestic	0.00273224043715847
18	Manbij	Abu Qilqil	2004-01-18	Construction	Domestic	0.00273224043715847
19	Manbij	Abu Qilqil	2004-01-19	Construction	Domestic	0.00273224043715847
20	Manbij	Abu Qilqil	2004-01-20	Construction	Domestic	0.00273224043715847
21	Manbij	Abu Qilqil	2004-01-21	Construction	Domestic	0.00273224043715847
22	Manbij	Abu Qilqil	2004-01-22	Construction	Domestic	0.00273224043715847
23	Manbij	Abu Qilqil	2004-01-23	Construction	Domestic	0.00273224043715847
24	Manbij	Abu Qilqil	2004-01-24	Construction	Domestic	0.00273224043715847
25	Manbij	Abu Qilqil	2004-01-25	Construction	Domestic	0.00273224043715847
26	Manbij	Abu Qilqil	2004-01-26	Construction	Domestic	0.00273224043715847
27	Manbij	Abu Qilqil	2004-01-27	Construction	Domestic	0.00273224043715847
28	Manbij	Abu Qilqil	2004-01-28	Construction	Domestic	0.00273224043715847
29	Manbij	Abu Qilqil	2004-01-29	Construction	Domestic	0.00273224043715847
30	Manbij	Abu Qilqil	2004-01-30	Construction	Domestic	0.00273224043715847
31	Manbij	Abu Qilqil	2004-01-31	Construction	Domestic	0.00273224043715847
32	Manbij	Abu Qilqil	2004-02-01	Construction	Domestic	0.00273224043715847
33	Manbij	Abu Qilqil	2004-02-02	Construction	Domestic	0.00273224043715847
34	Manbij	Abu Qilqil	2004-02-03	Construction	Domestic	0.00273224043715847
35	Manbij	Abu Qilqil	2004-02-04	Construction	Domestic	0.00273224043715847
36	Manbij	Abu Qilqil	2004-02-05	Construction	Domestic	0.00273224043715847
37	Manbij	Abu Qilqil	2004-02-06	Construction	Domestic	0.00273224043715847
38	Manbij	Abu Qilqil	2004-02-07	Construction	Domestic	0.00273224043715847
39	Manbij	Abu Qilqil	2004-02-08	Construction	Domestic	0.00273224043715847
40	Manbij	Abu Qilqil	2004-02-09	Construction	Domestic	0.00273224043715847
41	Manbij	Abu Qilqil	2004-02-10	Construction	Domestic	0.00273224043715847
42	Manbij	Abu Qilqil	2004-02-11	Construction	Domestic	0.00273224043715847
43	Manbij	Abu Qilqil	2004-02-12	Construction	Domestic	0.00273224043715847
44	Manbij	Abu Qilqil	2004-02-13	Construction	Domestic	0.00273224043715847
45	Manbij	Abu Qilqil	2004-02-14	Construction	Domestic	0.00273224043715847
46	Manbij	Abu Qilqil	2004-02-15	Construction	Domestic	0.00273224043715847
47	Manbij	Abu Qilqil	2004-02-16	Construction	Domestic	0.00273224043715847
48	Manbij	Abu Qilqil	2004-02-17	Construction	Domestic	0.00273224043715847
49	Manbij	Abu Qilqil	2004-02-18	Construction	Domestic	0.00273224043715847
50	Manbij	Abu Qilqil	2004-02-19	Construction	Domestic	0.00273224043715847
51	Manbij	Abu Qilqil	2004-02-20	Construction	Domestic	0.00273224043715847
52	Manbij	Abu Qilqil	2004-02-21	Construction	Domestic	0.00273224043715847
53	Manbij	Abu Qilqil	2004-02-22	Construction	Domestic	0.00273224043715847
54	Manbij	Abu Qilqil	2004-02-23	Construction	Domestic	0.00273224043715847
55	Manbij	Abu Qilqil	2004-02-24	Construction	Domestic	0.00273224043715847
56	Manbij	Abu Qilqil	2004-02-25	Construction	Domestic	0.00273224043715847
57	Manbij	Abu Qilqil	2004-02-26	Construction	Domestic	0.00273224043715847
58	Manbij	Abu Qilqil	2004-02-27	Construction	Domestic	0.00273224043715847
59	Manbij	Abu Qilqil	2004-02-28	Construction	Domestic	0.00273224043715847
60	Manbij	Abu Qilqil	2004-02-29	Construction	Domestic	0.00273224043715847
61	Manbij	Abu Qilqil	2004-03-01	Construction	Domestic	0.00273224043715847
62	Manbij	Abu Qilqil	2004-03-02	Construction	Domestic	0.00273224043715847
63	Manbij	Abu Qilqil	2004-03-03	Construction	Domestic	0.00273224043715847
64	Manbij	Abu Qilqil	2004-03-04	Construction	Domestic	0.00273224043715847
65	Manbij	Abu Qilqil	2004-03-05	Construction	Domestic	0.00273224043715847
66	Manbij	Abu Qilqil	2004-03-06	Construction	Domestic	0.00273224043715847
67	Manbij	Abu Qilqil	2004-03-07	Construction	Domestic	0.00273224043715847
68	Manbij	Abu Qilqil	2004-03-08	Construction	Domestic	0.00273224043715847
69	Manbij	Abu Qilqil	2004-03-09	Construction	Domestic	0.00273224043715847
70	Manbij	Abu Qilqil	2004-03-10	Construction	Domestic	0.00273224043715847
71	Manbij	Abu Qilqil	2004-03-11	Construction	Domestic	0.00273224043715847
72	Manbij	Abu Qilqil	2004-03-12	Construction	Domestic	0.00273224043715847
73	Manbij	Abu Qilqil	2004-03-13	Construction	Domestic	0.00273224043715847
74	Manbij	Abu Qilqil	2004-03-14	Construction	Domestic	0.00273224043715847
75	Manbij	Abu Qilqil	2004-03-15	Construction	Domestic	0.00273224043715847
76	Manbij	Abu Qilqil	2004-03-16	Construction	Domestic	0.00273224043715847
77	Manbij	Abu Qilqil	2004-03-17	Construction	Domestic	0.00273224043715847
78	Manbij	Abu Qilqil	2004-03-18	Construction	Domestic	0.00273224043715847
79	Manbij	Abu Qilqil	2004-03-19	Construction	Domestic	0.00273224043715847
80	Manbij	Abu Qilqil	2004-03-20	Construction	Domestic	0.00273224043715847
81	Manbij	Abu Qilqil	2004-03-21	Construction	Domestic	0.00273224043715847
82	Manbij	Abu Qilqil	2004-03-22	Construction	Domestic	0.00273224043715847
83	Manbij	Abu Qilqil	2004-03-23	Construction	Domestic	0.00273224043715847
84	Manbij	Abu Qilqil	2004-03-24	Construction	Domestic	0.00273224043715847
85	Manbij	Abu Qilqil	2004-03-25	Construction	Domestic	0.00273224043715847
86	Manbij	Abu Qilqil	2004-03-26	Construction	Domestic	0.00273224043715847
87	Manbij	Abu Qilqil	2004-03-27	Construction	Domestic	0.00273224043715847
88	Manbij	Abu Qilqil	2004-03-28	Construction	Domestic	0.00273224043715847
89	Manbij	Abu Qilqil	2004-03-29	Construction	Domestic	0.00273224043715847
90	Manbij	Abu Qilqil	2004-03-30	Construction	Domestic	0.00273224043715847
91	Manbij	Abu Qilqil	2004-03-31	Construction	Domestic	0.00273224043715847
92	Manbij	Abu Qilqil	2004-04-01	Construction	Domestic	0.00273224043715847
93	Manbij	Abu Qilqil	2004-04-02	Construction	Domestic	0.00273224043715847
94	Manbij	Abu Qilqil	2004-04-03	Construction	Domestic	0.00273224043715847
95	Manbij	Abu Qilqil	2004-04-04	Construction	Domestic	0.00273224043715847
96	Manbij	Abu Qilqil	2004-04-05	Construction	Domestic	0.00273224043715847
97	Manbij	Abu Qilqil	2004-04-06	Construction	Domestic	0.00273224043715847
98	Manbij	Abu Qilqil	2004-04-07	Construction	Domestic	0.00273224043715847
99	Manbij	Abu Qilqil	2004-04-08	Construction	Domestic	0.00273224043715847
100	Manbij	Abu Qilqil	2004-04-09	Construction	Domestic	0.00273224043715847
101	Manbij	Abu Qilqil	2004-04-10	Construction	Domestic	0.00273224043715847
102	Manbij	Abu Qilqil	2004-04-11	Construction	Domestic	0.00273224043715847
103	Manbij	Abu Qilqil	2004-04-12	Construction	Domestic	0.00273224043715847
104	Manbij	Abu Qilqil	2004-04-13	Construction	Domestic	0.00273224043715847
105	Manbij	Abu Qilqil	2004-04-14	Construction	Domestic	0.00273224043715847
106	Manbij	Abu Qilqil	2004-04-15	Construction	Domestic	0.00273224043715847
107	Manbij	Abu Qilqil	2004-04-16	Construction	Domestic	0.00273224043715847
108	Manbij	Abu Qilqil	2004-04-17	Construction	Domestic	0.00273224043715847
109	Manbij	Abu Qilqil	2004-04-18	Construction	Domestic	0.00273224043715847
110	Manbij	Abu Qilqil	2004-04-19	Construction	Domestic	0.00273224043715847
111	Manbij	Abu Qilqil	2004-04-20	Construction	Domestic	0.00273224043715847
112	Manbij	Abu Qilqil	2004-04-21	Construction	Domestic	0.00273224043715847
113	Manbij	Abu Qilqil	2004-04-22	Construction	Domestic	0.00273224043715847
114	Manbij	Abu Qilqil	2004-04-23	Construction	Domestic	0.00273224043715847
115	Manbij	Abu Qilqil	2004-04-24	Construction	Domestic	0.00273224043715847
116	Manbij	Abu Qilqil	2004-04-25	Construction	Domestic	0.00273224043715847
117	Manbij	Abu Qilqil	2004-04-26	Construction	Domestic	0.00273224043715847
118	Manbij	Abu Qilqil	2004-04-27	Construction	Domestic	0.00273224043715847
119	Manbij	Abu Qilqil	2004-04-28	Construction	Domestic	0.00273224043715847
120	Manbij	Abu Qilqil	2004-04-29	Construction	Domestic	0.00273224043715847
121	Manbij	Abu Qilqil	2004-04-30	Construction	Domestic	0.00273224043715847
122	Manbij	Abu Qilqil	2004-05-01	Construction	Domestic	0.00273224043715847
123	Manbij	Abu Qilqil	2004-05-02	Construction	Domestic	0.00273224043715847
124	Manbij	Abu Qilqil	2004-05-03	Construction	Domestic	0.00273224043715847
125	Manbij	Abu Qilqil	2004-05-04	Construction	Domestic	0.00273224043715847
126	Manbij	Abu Qilqil	2004-05-05	Construction	Domestic	0.00273224043715847
127	Manbij	Abu Qilqil	2004-05-06	Construction	Domestic	0.00273224043715847
128	Manbij	Abu Qilqil	2004-05-07	Construction	Domestic	0.00273224043715847
129	Manbij	Abu Qilqil	2004-05-08	Construction	Domestic	0.00273224043715847
130	Manbij	Abu Qilqil	2004-05-09	Construction	Domestic	0.00273224043715847
131	Manbij	Abu Qilqil	2004-05-10	Construction	Domestic	0.00273224043715847
132	Manbij	Abu Qilqil	2004-05-11	Construction	Domestic	0.00273224043715847
133	Manbij	Abu Qilqil	2004-05-12	Construction	Domestic	0.00273224043715847
134	Manbij	Abu Qilqil	2004-05-13	Construction	Domestic	0.00273224043715847
135	Manbij	Abu Qilqil	2004-05-14	Construction	Domestic	0.00273224043715847
136	Manbij	Abu Qilqil	2004-05-15	Construction	Domestic	0.00273224043715847
137	Manbij	Abu Qilqil	2004-05-16	Construction	Domestic	0.00273224043715847
